Timestamp,Link to college COVID dashboard,Name of college or university,How often would you like it archived?
1/8/2022 9:03:16,https://www.berklee.edu/btb/dashboard,Berklee,daily
1/8/2022 9:03:33,https://covidinfo.jhu.edu/diagnostic-testing/testing-dashboard/,Johns Hopkins,daily
1/8/2022 9:03:57,https://calbaptist.edu/covid19-dashboard,California Baptist University,daily
1/8/2022 9:04:17,https://covid19.ca.gov/state-dashboard/,California Covid-19 dashboard,daily
1/8/2022 9:05:03,https://coronavirus.calpoly.edu/,"California Polytechnic State University, San Luis Obispo",Daily
1/8/2022 9:05:08,https://www.georgetown.edu/coronavirus/covid-19-dashboard/,Georgetown University,daily
1/8/2022 9:05:20,https://coronavirus.rutgers.edu/health-and-safety/testing-program-dashboard/,Rutgers,Daily 
1/8/2022 9:05:21,https://splunk-public.machinedata.illinois.edu/en-US/app/uofi_shield_public_APP/home,University of Illinois Urbana-Champaign,Daily
1/8/2022 9:05:23,https://blogs.lawrence.edu/covid-19/,Lawrence University,daily
1/8/2022 9:05:39,https://coronavirus.miami.edu/dashboard/index.html,University of Miami,daily
1/8/2022 9:05:46,https://www.ut.edu/campus-life/student-services/dickey-health-and-wellness-center/covid-19-safety-and-education/ut-covid-19-cases,University of Tampa,Daily 
1/8/2022 9:06:08,https://www.rowan.edu/returntorowan/confirmed-covid-cases.html,Rowan University,Daily 
1/8/2022 9:06:20,http://news.northeastern.edu/coronavirus/reopening/testing-dashboard/?cacheflush,Northeastern University,Weekly
1/8/2022 9:06:36,https://coronavirus.uiowa.edu/covid-19-numbers,University of Iowa,Daily 
1/8/2022 9:06:53,https://covid.unm.edu/,UMN,daily
1/8/2022 9:07:36,https://www.bu.edu/healthway/community-dashboard/,Boston University,daily
1/8/2022 9:07:50,https://www.sju.edu/hawk-hill-ahead/announcements/covid-19-dashboard,Saint Joseph's University,Daily 
1/8/2022 9:07:52,https://www.liberty.edu/coronavirus/covid-19-dashboard/,Liberty University,daily
1/8/2022 9:08:31,https://www.duq.edu/life-at-duquesne/health-recreation-and-counseling/health-services/covid-planning-and-information/dashboard,Duquesne University,Daily 
1/8/2022 9:08:57,https://www.scrippscollege.edu/scripps-strong/covid-19-dashboard/,Scripps College,Daily 
1/8/2022 9:09:03,https://www.colorado.edu/covid-19-ready-dashboard,Colorado College,daily
1/8/2022 9:09:49,https://www.mines.edu/coronavirus/,Colorado School of Mines,Daily 
1/8/2022 9:10:22,https://www.sacredheart.edu/offices--departments-directory/health-services/coronavirus/covid-19-campus-status/,Sacred Heart University,Daily 
1/8/2022 9:10:54,https://coronavirus.upenn.edu/content/dashboard,University of Pennsylvania,daily
1/8/2022 9:10:58,https://www.hmc.edu/covid-19/dashboard/,Harvey Mudd College,Daily 
1/8/2022 9:11:26,https://www.harvard.edu/coronavirus/testing-tracing/harvard-university-wide-covid-19-testing-dashboard/,Harvard University,Daily 
1/8/2022 9:11:46,https://www.richmond.edu/coronavirus/dashboard/index.html,University of Richmond,daily
1/8/2022 9:11:51,https://coronavirus.virginia.edu/covid-tracker,University of Virginia,Daily 
1/8/2022 9:12:11,https://www.gonzaga.edu/zagon/covid-19-dashboard,Gonzaga University,daily
1/8/2022 9:12:25,https://campusblueprint.umich.edu/dashboard/,University of Michigan ,Weekly (“narrative” updates are on Tuesdays)
1/8/2022 9:12:32,https://www.rochester.edu/coronavirus-update/dashboard/,University of Rochester,daily
1/8/2022 9:12:45,https://covidresponse.wisc.edu/dashboard/,University of Wisconsin,Daily 
1/8/2022 9:13:14,https://fall2021.tcnj.edu/dashboard/,The College of New Jersey,Daily 
1/8/2022 9:13:29,https://together.caltech.edu/cases-testing-and-tracing/dashboard,Caltech,daily
1/8/2022 9:13:42,https://www.shu.edu/health-intervention-communication/reported-cases.cfm,Seton Hall University,Daily 
1/8/2022 9:13:42,https://covid19.arizona.edu/dashboard,Arizona,daily
1/8/2022 9:14:12,https://www.arcadia.edu/university/covid-19/dashboard,Arcadia University,Daily 
1/8/2022 9:14:45,https://coronavirus.ucsf.edu/dashboard,"University of California, San Franscisco",Daily 
1/8/2022 9:15:22,https://www.kutztown.edu/news-and-media/announcements/spring-2022/health-update-for-ku-campus-fall-2021.html,Kutztown University,Daily 
1/8/2022 9:15:45,https://www.suny.edu/covid19-tracker/,SUNY,Daily 
1/8/2022 9:16:09,https://covid19.yale.edu/yale-data,Yale University,Daily 
1/8/2022 9:17:18,https://www.qu.edu/health-wellness-and-safety/covid-19-resources/,Quinnipiac University,Daily 
1/8/2022 9:17:37,https://campusblueprint.umich.edu/dashboard/,University of Michigan,
1/8/2022 9:17:48,https://covid.princeton.edu/dashboard,Princeton University,Daily 
1/8/2022 9:17:48,https://covid.unm.edu/,University of New Mexico,Weekly
1/8/2022 9:18:08,https://healthy.brown.edu/testing-tracing/dashboard,Brown University,Daily 
1/8/2022 9:18:30,https://msu.edu/together-we-will/testing-reporting/,Michigan State University,
1/8/2022 9:18:31,https://www.brandeis.edu/covid-19/dashboard.html,Brandeis ,
1/8/2022 9:18:34,https://web.uri.edu/healthservices/covid-19/tracker/,University of Rhode Island,Daily 
1/8/2022 9:18:47,https://healthy.brown.edu/testing-tracing/dashboard,Brown,daily
1/8/2022 9:19:04,https://www.buffalo.edu/coronavirus/health-and-safety/covid-19-dashboard.html,University of Buffalo,daily
1/8/2022 9:19:37,https://www.cmu.edu/coronavirus/health-and-wellness/dashboard.html,Carnegie Mellon University,daily
1/8/2022 9:21:02,https://www.esf.edu/restart/,State University of New York College of Environmental Science and Forestry,Daily
1/8/2022 9:21:55,https://case.edu/covid19/health-safety/testing/covid-19-testing-vaccination-and-case-data,Case Western University,daily
1/8/2022 9:22:09,https://goforward.uchicago.edu/,University of Chicago,daily
1/8/2022 9:22:15,https://www.syracuse.edu/covid-dashboard/,Syracuse University,Daily
1/8/2022 9:22:25,https://covid19.columbia.edu/,Columbia University,daily
1/8/2022 9:22:43,https://www.sju.edu/hawk-hill-ahead/announcements/covid-19-dashboard,Saint Joseph's University,Weekly
1/8/2022 9:22:48,https://covid.cornell.edu/testing/dashboard/,Cornell University,daily
1/8/2022 9:23:04,https://covid.dartmouth.edu/covid19-dashboard,Dartmouth University,daily
1/8/2022 9:23:16,https://coronavirus.duke.edu/covid-testing/,Duke University,daily
1/8/2022 9:25:04,https://www.emory.edu/forward/covid-19/dashboard/index.html,Emory University,daily
1/8/2022 9:25:08,https://www.wvu.edu/return-to-campus/daily-test-results/morgantown,West Virginia University,Daily
1/8/2022 9:25:19,https://coronavirus.ufl.edu/,University of Florida,daily
1/8/2022 9:25:28,https://www.ncsu.edu/coronavirus/testing-and-tracking/,NC State,Daily
1/8/2022 9:25:34,https://health.gatech.edu/coronavirus/health-alerts,Georgia Tech University,daily
1/8/2022 9:25:53,https://www.harvard.edu/coronavirus/testing-tracing/harvard-university-wide-covid-19-testing-dashboard/,Harvard University,daily
1/8/2022 9:26:20,https://covid19.illinois.edu/,University of Illinois at CU,daily
1/8/2022 9:26:34,https://covid19.illinois.edu/on-campus-covid-19-testing-data-dashboard/,University of Illinois Urbana Champaign ,Daily 
1/8/2022 9:26:36,https://www.iu.edu/covid/dashboard/index.html,Indiana University,daily
1/8/2022 9:27:10,https://coronavirus.uiowa.edu/covid-19-numbers,University of Iowa,daily
1/8/2022 9:27:28,https://asqk.ehs.iastate.edu/coviddashboard,Iowa State University,daily
1/8/2022 9:27:44,https://www.parkland.edu/Main/About-Parkland/Department-Office-Directory/Student-Life/Wellness-Center/COVID-19-Information/COVID-Dashboard,Parkland College ,Daily
1/8/2022 9:28:02,https://stayhealthy.fsu.edu/dashboard,Florida State University,Daily 
1/8/2022 9:28:33,https://www.mtu.edu/flex/testing/statistics/,Michigan Tech,Daily 
1/8/2022 9:28:38,https://protect.ku.edu/data,University of Kansas,daily
1/8/2022 9:29:11,https://coronavirus.illinoisstate.edu/dashboard/,Illinois State University ,Daily
1/8/2022 9:29:46,https://coronavirus.virginia.edu/covid-tracker,University of Virginia,Daily (M-F)
1/8/2022 9:30:04,https://www.bentley.edu/backtobentley/dashboard,Bentley University,Daily 
1/8/2022 9:30:20,https://covid-dashboard.uic.edu/view/,University of Illinois Chicago ,Daily
1/8/2022 9:30:44,https://www.albright.edu/about-albright/buildings-facilities/gable-center/covid-19/covid-19-dashboard/,Albright College,Daily 
1/8/2022 9:31:20,https://www.rider.edu/resolved-and-ready/covid-19-dashboards,Rider University,Daily 
1/8/2022 9:31:21,https://umd.edu/covid-19-dashboard,University of Marlyand,daily
1/8/2022 9:31:25,https://www.uis.edu/uisunitedinsafety/covid-19-saliva-testing,University of Illinois Springfield ,Daily 
1/8/2022 9:31:38,https://www.mcgill.ca/coronavirus/case-status,McGill University,daily
1/8/2022 9:31:51,https://drexel.edu/coronavirus/health-safety/covid-19-dashboard/,Drexel University,Daily 
1/8/2022 9:32:00,https://campusblueprint.umich.edu/dashboard/,University of Michigan,daily
1/8/2022 9:32:24,https://msu.edu/together-we-will/testing-reporting/,Michigan State University,daily
1/8/2022 9:33:00,https://safe-campus.umn.edu/return-campus/covid-19-dashboard,University of Minnesota,daily
1/8/2022 9:33:14,https://renewal.missouri.edu/student-cases/,University of Missouri,daily
1/8/2022 9:33:21,https://healthalerts.stanford.edu/covid-19/covid-dashboard/,Stanford University,Daily 
1/8/2022 9:33:54,https://covidapps.mit.edu/dashboard,MIT,daily
1/8/2022 9:34:05,https://now.mit.edu/,MIT,daily
1/8/2022 9:34:21,https://covid19.unl.edu/,University of Nebraska at Lincoln,daily
1/8/2022 9:34:25,https://www.monmouth.edu/covid-19/dashboard/,Monmouth University,Daily 
1/8/2022 9:34:36,https://carolinatogether.unc.edu/dashboard/,University of North Carolina at Chapel Hill,daily
1/8/2022 9:34:51,https://stockton.edu/emergency-management/coronavirus.html,Richard Stockton College,Daily 
1/8/2022 9:36:24,https://www.coa.edu/news/covid-19/,College of the Atlantic,Daily 
1/8/2022 9:37:07,https://www.anselm.edu/covid-19-response/covid-19-tracking,Saint Anslem College,No longer updating 
1/8/2022 9:38:31,https://www.northwestern.edu/coronavirus-covid-19-updates/university-status/dashboard/index.html,Northwestern University,daily
1/8/2022 9:38:45,https://www.nyu.edu/life/safety-health-wellness/coronavirus-information.html,NYU,daily
1/8/2022 9:39:01,https://safeandhealthy.osu.edu/dashboard,Ohio State University,daily
1/8/2022 9:39:18,https://coronavirus.uoregon.edu/cases,University of Oregon,daily
1/8/2022 9:39:24,https://m.mainemaritime.edu/default/covid_19_info/_/covid_19_dashboard,Maine Maritime Academy,Daily 
1/8/2022 9:39:47,https://coronavirus.upenn.edu/content/dashboard,University of Pennslyvania,daily
1/8/2022 9:39:48,https://www.bates.edu/academic-year-2021-22/covid-19-cases/,Bates College,Daily 
1/8/2022 9:40:04,https://virusinfo.psu.edu/covid-19-dashboard/,Penn State,daily
1/8/2022 9:40:57,https://www.bowdoin.edu/covid-19/dashboard/index.html,Bowdoin College,Daily 
1/8/2022 9:41:19,https://www.coronavirus.pitt.edu/,University of Pittsburgh,daily
1/8/2022 9:41:39,https://covid.princeton.edu/dashboard,Princeton University,daily
1/8/2022 9:42:17,https://protect.purdue.edu/dashboard/,Purdue University,daily
1/8/2022 9:42:33,https://coronavirus.rice.edu/,Rice University,daily
1/8/2022 9:43:20,https://www.rochester.edu/coronavirus-update/students-families/,University of Rochester,daily
1/8/2022 9:44:03,https://coronavirus.rutgers.edu/health-and-safety/testing-program-dashboard/,Rutgers University,daily
1/8/2022 9:44:40,https://coronavirus.usc.edu/,USC,daily
1/8/2022 9:45:02,https://healthalerts.stanford.edu/covid-19/covid-dashboard/,Stanford University,daily
1/8/2022 9:45:18,https://www.stonybrook.edu/commcms/irpe/covid-19,Stonybrook University,daily
1/8/2022 9:46:03,https://www.syracuse.edu/covid-dashboard/,Syracuse University,daily
1/8/2022 9:46:42,https://protect.utexas.edu/ut-austin-covid-19-dashboard/,UT-Austin,daily
1/8/2022 9:46:57,https://www.tamu.edu/coronavirus/dashboard/,Texas A&M,daily
1/8/2022 9:47:32,https://www.utoronto.ca/utogether/covid19-dashboard,University of Toronto,daily
1/8/2022 9:47:45,https://tulane.edu/covid-19/dashboard,Tulane University,daily
1/8/2022 9:47:58,https://coronavirus.berkeley.edu/dashboard/,UC-Berkeley,Daily
1/8/2022 9:48:56,https://campusready.ucdavis.edu/testing-response/dashboard,UC-Davis,daily
1/8/2022 9:49:16,https://uci.edu/coronavirus/dashboard/,UC-Irvine,daily
1/8/2022 9:49:35,https://returntolearn.ucsd.edu/dashboard/index.html,UC-San Diego,daily
1/8/2022 9:49:51,https://www.ucsb.edu/COVID-19-information/dashboard,UC-Santa Barbara,daily
1/8/2022 9:50:14,https://slugstrong.ucsc.edu/reporting-covid/covid-tracking/,UC-Santa Cruz,daily
1/8/2022 9:50:25,https://covid-19.ucla.edu/,UCLA,daily
1/8/2022 9:50:52,https://coronavirus.utah.edu/,University of Utah,daily
1/8/2022 9:51:05,https://www.vanderbilt.edu/coronavirus/fall2021-covid19dashboard/,Vanderbilt University,daily
1/8/2022 9:51:18,https://coronavirus.virginia.edu/covid-tracker,University of Virginia,daily
1/8/2022 9:51:36,https://covid19.wustl.edu/danforth-campus-covid-19-dashboard/,Washington University in St. Louis,daily
1/8/2022 9:52:23,https://www.washington.edu/coronavirus/testing-results/,University of Washington,daily
1/8/2022 9:52:29,https://wsu.edu/covid-19/covid-cases/,Washington state university ,Weekly
1/8/2022 9:52:43,https://covidresponse.wisc.edu/dashboard/,University of Wisconsin - Madison,daily
1/8/2022 9:52:59,https://covid19.yale.edu/yale-data,Yale University,daily
1/8/2022 9:53:02,https://www.stetson.edu/other/safer-stetson/test-results.php,Stetson University,Daily
1/8/2022 9:53:22,https://www.etown.edu/covid/current-status.aspx,Elizabethtown College,Weekly
1/8/2022 9:59:34,https://ysu.edu/coronavirus-information/covid-19-dashboard,Youngstown State University,daily
1/8/2022 9:59:40,https://www.wm.edu/about/administration/emergency/current_issues/coronavirus/dashboard/,William & Mary,weekly
1/8/2022 10:00:12,https://coronavirus.gwu.edu/dashboard,George Washington University,Daily
1/8/2022 10:01:03,https://howard.edu/pandemic-response/testing-dashboard,Howard University,Daily
1/8/2022 10:02:05,https://drexel.edu/coronavirus/health-safety/covid-19-dashboard/,Drexel University,Weekly
1/8/2022 10:02:36,https://www.montgomerycollege.edu/return-to-campus/covid-19-dashboard.html,Montgomery College,Weekly
1/8/2022 10:19:34,https://www.marquette.edu/coronavirus/dashboard.php,Marquette University,daily
1/8/2022 10:19:45,https://www.elon.edu/u/healthy-elon/,Elon University,daily
1/8/2022 10:20:00,https://covid.nd.edu/dashboard/,University of Notre Dame,daily
1/8/2022 10:20:21,https://covid.uncg.edu/covid-19-case-dashboard/,UNC Greensboro,daily
1/8/2022 10:20:34,https://www.appstate.edu/go/coronavirus/,App State University,daily
1/8/2022 10:20:48,https://www.nccu.edu/coronavirus/confirmed-cases-covid-19-nccu,NC Central University,daily
1/8/2022 10:21:14,https://returnofpiratenation.ecu.edu/public-covid-dashboard/,Eastern Carolina University,daily
